OBJEKTART,UUID,NAME,MIN_E,MIN_N,MIN_Z,MAX_E,MAX_N,MAX_Z,SKIGEBIET,2005 mid,2005 bottom,2005 top,2035 mid,2035 bottom,2035 top,2060 mid,2060 bottom,2060 top,2085 mid,2085 bottom,2085 top
Sesselbahn,{2D051526-4C33-4EF2-8437-86209CC137E0},Prodkamm,740450,216009,1583,738947,215272,1951,Flumserberg,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Skilift,{EF346349-7545-4E73-9228-9C6DA1B3B6F1},Schwammkopf,740059,217453,1362,739955,216932,1455,Flumserberg,green,yellow,green,yellow,yellow,yellow,yellow,red,yellow,red,red,red
Sesselbahn,{8864DD45-82FA-423F-B6F8-8FC182B2C51C},Seeben,737426,215730,1626,737958,215578,1808,Flumserberg,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Sesselbahn,{3B185CE5-0FB6-499E-B7DF-6A902D32A273},Stelli,739217,216212,1604,737933,215441,1845,Flumserberg,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Sesselbahn,{D650FB62-7C8F-4149-9736-CC021C2A659C},Twärchamm,738949,215942,1636,739179,215580,1828,Flumserberg,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Skilift,{DD79DEFC-F1E5-4D5C-B3C4-EEAA5D38547B},Mittenwald,741095,217062,1287,740621,216773,1409,Flumserberg,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow,red,red,red
Skilift,{EFBC0422-6880-4AFA-8659-8D548107EBED},Tannenboden,740150,217405,1365,740121,217054,1430,Flumserberg,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow,red,red,red
Skilift,{F376A9C6-F82D-453D-84DD-3CBBB2133D83},Gägger,597263,177243,1299,595910,176978,1606,Gantrisch,green,yellow,green,yellow,yellow,yellow,yellow,red,yellow,red,red,red
Skilift,{8D86A9B0-30A5-4017-9AB1-55DF4E2C37D8},Länggrätli,601734,174954,1344,600546,174711,1579,Gantrisch,green,yellow,green,yellow,yellow,yellow,yellow,red,yellow,red,red,red
Skilift,{E9DD309D-FC20-4714-A7EA-2C11AD21871B},Schwefelberg-Louigrat,598110,173785,1390,597784,172827,1710,Gantrisch,green,yellow,green,yellow,yellow,yellow,yellow,red,yellow,red,red,red
Skilift,{6ADF1367-6267-4BF4-AE4F-A7A1E9CC64AB},Selital,596739,177127,1388,596267,177039,1503,Gantrisch,green,yellow,green,yellow,yellow,yellow,yellow,red,yellow,red,red,red
Skilift,{8CFB5C02-D4A0-4509-983C-83EEFF557A30},Gurnigelbad,600571,178601,1202,601103,178249,1299,Gantrisch,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red,red,red,red
Skilift,{FBCD231B-9C58-4859-9831-3DE25E4AB6A7},Kuhberg,600902,174508,1517,600656,174578,1568,Gantrisch,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{4945BFD2-5ABD-41D6-B324-E6062DB3CAE1},Lischboden,599744,176702,1386,598952,176719,1561,Gantrisch,yellow,yellow,yellow,yellow,yellow,yellow,yellow,red,yellow,red,red,red
Skilift,{8C1008A8-70A3-4655-9DF4-D8A66AF485AE},Ottenleue-Egg,594346,175630,1456,594344,176344,1633,Gantrisch,yellow,yellow,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{FAE32893-A35E-426B-92B0-069C3CDC70C9},Rüschegg,598598,178764,1057,598961,176736,1562,Gantrisch,yellow,yellow,green,yellow,red,yellow,red,red,yellow,red,red,red
Skilift,{EE176263-D465-4EFB-AD86-E6902C2689BF},Feld,663674,148843,1404,663500,149704,1595,Goms–Obergoms,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{A12B3901-69E2-4911-9A73-8C34075708AA},Geschinen-Lauinen,664511,149517,1365,663651,149520,1528,Goms–Obergoms,yellow,yellow,yellow,yellow,yellow,yellow,yellow,red,yellow,red,red,red
Skilift,{4784277B-5AB3-416D-B112-ABCC55FA2A42},Gluringen,660950,145995,1331,660317,146193,1457,Goms–Obergoms,yellow,yellow,yellow,yellow,yellow,yellow,red,red,yellow,red,red,red
Sesselbahn,{EEBA8E54-7327-4138-B4F7-C173F7D06B9E},Bärgji 1,632146,118216,1654,632775,117721,1985,Grächen,green,green,green,green,yellow,green,yellow,yellow,yellow,yellow,red,yellow
Sesselbahn,{0A3C3BA3-0393-43F1-AEBB-9E37BF821AB1},Bärgji 2,632775,117721,1985,633322,117293,2172,Grächen,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Skilift,{E1E41D01-EFC6-4F82-933C-0BDBC5F6A091},Furggen 1,633155,117314,2124,633581,116899,2330,Grächen,green,green,green,green,green,green,green,green,green,yellow,yellow,yellow
Skilift,{8175AB31-8D70-40F4-9088-F742A438528F},Furggen 2,633112,117251,2120,633580,116784,2341,Grächen,green,green,green,green,green,green,green,green,green,yellow,yellow,yellow
Gondelbahn,{2FAB03C8-5DE4-4B9E-A544-BF8741F09F60},Grächen–Hannigalp,631119,116226,1626,633073,117313,2123,Grächen,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Skilift,{025D8FD6-F51C-472A-BA96-1184F760DB50},Härdera 1,632945,117017,2092,633193,117093,2144,Grächen,green,green,green,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow
Skilift,{1060032D-4534-40B1-B675-AD78728AB7CE},Härdera 2,632944,117022,2092,633195,117098,2140,Grächen,green,green,green,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow
Skilift,{0B44B328-0197-464C-AA5E-1B93F6D5A9C4},Paradiesli,632970,117714,2053,633399,117286,2193,Grächen,green,green,green,green,green,green,green,green,green,yellow,yellow,yellow
Sesselbahn,{BA494CF8-C0FB-4806-BA8D-BF73C921656E},Plattja,631291,113739,2518,632416,113871,2866,Grächen,green,green,green,green,green,green,green,green,green,green,yellow,green
Sesselbahn,{D38B3E4C-D947-4B64-8248-51BF7A8A35B8},Stafel–Seetalhorn 1,632807,116203,2208,632559,115194,2456,Grächen,green,green,green,green,green,green,green,green,green,yellow,yellow,green
Sesselbahn,{66996F0D-6753-4D72-9C4A-7D8B7BB6038B},Stafel–Seetalhorn 2,632559,115194,2456,632482,114007,2863,Grächen,green,green,green,green,green,green,green,green,green,green,green,green
Sesselbahn,{ED1B5E51-2FD3-486D-B8E6-7384667A2C5A},Arven,640938,159951,1851,640047,159639,2071,Grindelwald-Wengen,green,green,green,green,green,green,yellow,yellow,green,yellow,yellow,yellow
Skilift,{6D9D0412-A0FA-43B2-A32F-FE60E16E16A5},Bärgelegg,648646,167253,1730,648578,168170,1946,Grindelwald-Wengen,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{5DFFCFA2-DA09-4BB3-AB6E-BE6883D57C02},Bumps,637367,159107,1634,637843,158770,1783,Grindelwald-Wengen,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Sesselbahn,{7365F55D-1719-4161-90A1-9F4B8EC5670A},Eigernordwand,641051,160058,1848,641130,158385,2342,Grindelwald-Wengen,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Sesselbahn,{EEF34E4C-839A-4DC7-9C88-CF9AEB2E309D},Fallenboden,639218,158087,1831,640536,158692,2142,Grindelwald-Wengen,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Gondelbahn,{F849D0A0-5D15-4B28-8438-D42BADCCC492},Firstbahn Bort-Grindel,646937,166350,1567,647960,167664,1960,Grindelwald-Wengen,green,yellow,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Gondelbahn,{26410186-8461-4E6A-BEF9-E1C4D78E8B76},Firstbahn Grindel-First,647960,167664,1960,647145,167800,2172,Grindelwald-Wengen,green,green,green,green,yellow,green,yellow,yellow,yellow,yellow,red,yellow
Sesselbahn,{BFE19697-1E19-45DD-A9DB-0588711DA112},Grindel,648612,167269,1730,647866,167973,2019,Grindelwald-Wengen,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Sesselbahn,{96906191-A44F-4772-AC4A-CDB1D3D26226},Gummi,639962,161631,1953,639878,160995,2173,Grindelwald-Wengen,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Skilift,{B37444AA-397A-42A0-9863-4B2DC12BA922},Hohwald,649099,167320,1721,649200,168434,1990,Grindelwald-Wengen,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Gondelbahn,{22F8F7CB-FA38-412B-9AC3-E6C2784FD36E},Holenstein-Männlichen,641369,163452,1628,638620,162322,2229,Grindelwald-Wengen,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Sesselbahn,{36E2B58C-D32F-406A-BC3C-BA397E364C2C},Honegg,641031,160029,1841,639583,160897,2307,Grindelwald-Wengen,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Sesselbahn,{235A9D05-B247-4F11-839B-89B96FAF4258},Läger,640449,163013,1807,638833,161774,2253,Grindelwald-Wengen,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Sesselbahn,{5243D0AD-E18C-4052-965F-2A1E41A5EFEB},Lauberhorn,639943,159568,2077,639082,160074,2399,Grindelwald-Wengen,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Sesselbahn,{4D701585-2359-42C9-ADA7-04113712602F},Männlichen,640259,163116,1794,638600,162587,2228,Grindelwald-Wengen,green,green,green,green,yellow,green,green,yellow,green,yellow,red,yellow
Sesselbahn,{B17C8D2E-67DA-48C1-BBE9-D347167340D1},Oberjoch,647018,167978,2169,647009,169394,2504,Grindelwald-Wengen,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Sesselbahn,{80FB2CDF-4F0E-4429-B798-E7EA382A1FE5},Schilt,648076,167871,1952,647851,169396,2263,Grindelwald-Wengen,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Skilift,{292B6A87-3FD0-4099-A85B-6FD43B5BDB34},Tschuggen,641165,161935,1708,639726,161937,2046,Grindelwald-Wengen,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Luftseilbahn,{C49516E8-7F57-4E82-87B3-6CB5C6161675},Wengen-Männlichen,636993,161780,1284,638470,162552,2239,Grindelwald-Wengen,green,yellow,green,yellow,yellow,green,yellow,red,green,red,red,yellow
Sesselbahn,{62569246-E87B-49BF-8F68-4F8256431E43},Wixi,639189,158064,1830,638963,159611,2326,Grindelwald-Wengen,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Skilift,{FFD749E2-F31E-43A6-8341-B9EFCC33C2BF},Bodmi 1,645948,164122,1104,646039,164341,1151,Grindelwald-Wengen,yellow,yellow,yellow,red,red,red,red,red,red,red,red,red
Skilift,{6BBD6403-3B82-4378-81DF-6716DFB5FBBA},Bodmi 2,645951,164120,1104,646043,164339,1151,Grindelwald-Wengen,yellow,yellow,yellow,red,red,red,red,red,red,red,red,red
Gondelbahn,{E9AE4F8C-98D2-4323-AC4F-46A9F6ACB733},Firstbahn Grindelwald-Bort,646195,163925,1067,646926,166329,1568,Grindelwald-Wengen,yellow,yellow,yellow,yellow,red,yellow,red,red,yellow,red,red,red
Gondelbahn,{2500649A-4687-48A0-963B-41639883C04F},Grindelwald-Holenstein,644441,163878,943,641430,163468,1628,Grindelwald-Wengen,yellow,red,green,yellow,red,yellow,red,red,yellow,red,red,red
Luftseilbahn,{002FEE00-92B1-4933-99CD-07CF0DF8AB2D},Grindelwald-Pfingstegg,646590,163723,1029,647320,163090,1393,Grindelwald-Wengen,yellow,yellow,yellow,yellow,red,yellow,red,red,red,red,red,red
Sesselbahn,{F1366745-B651-4089-AD99-E1CEBEAB3816},Innerwengen,637173,160439,1276,637746,160346,1510,Grindelwald-Wengen,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow,red,red,red
Skilift,{20DC9DF2-1D08-4C4A-A48B-74A3F803C0AB},Bünda,767790,201525,1716,767621,201407,1744,Grüsch–Danusa,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Sesselbahn,{B312578A-2146-431A-946D-57B98D063102},Danusa-Schwänzelegg,769075,201648,1643,768406,201786,1775,Grüsch–Danusa,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{A9523B08-6FAC-41E9-B6A1-40FCE39E54E5},Schwendi,767405,201722,1556,768305,201792,1782,Grüsch–Danusa,green,yellow,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Gondelbahn,{EB546802-445E-4046-B7BD-A00D10935366},Sektion 2 Cavadura-Schwänzelegg,767006,203468,1184,768260,201866,1778,Grüsch–Danusa,green,yellow,green,yellow,red,yellow,yellow,red,yellow,red,red,red
Gondelbahn,{F548D135-6D62-4838-8AD4-02BB38585C6A},Sektion 1 Grüsch-Cavadura,767483,204730,602,767005,203473,1184,Grüsch–Danusa,red,red,yellow,red,red,red,red,red,red,red,red,red
Skilift,{D6C452B9-57D4-4893-A60D-BF1887299CE1},Vacca,766043,202744,1100,767281,201634,1578,Grüsch–Danusa,yellow,yellow,green,yellow,red,yellow,red,red,yellow,red,red,red
Sesselbahn,{0E1C7AE9-1699-4FFC-9908-9B0E6D26D4A2},Bisse–Wasserngrat,590258,146468,1277,591176,145099,1941,Gstaad,green,yellow,green,yellow,yellow,green,yellow,red,yellow,red,red,yellow
Gondelbahn,{839A9E8F-F0F6-478B-B13C-065BE495F22D},Bodme–Wispile,589120,144326,1589,588777,143223,1912,Gstaad,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Sesselbahn,{9DDF3203-8589-4541-B3C5-B9D62AC3CE04},Chalberhöni–Les Gouilles,584903,144694,1350,582170,145118,2018,Gstaad,green,yellow,green,yellow,yellow,green,yellow,red,yellow,red,red,yellow
Luftseilbahn,{3E543E61-41AE-4A97-A3DC-8F0688365596},Les Gouilles,582178,145179,2013,582021,145402,2157,Gstaad,green,green,green,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow
Gondelbahn,{672A05DA-FE25-489C-8242-630202F6AE3C},Rougemont–La Videmanette,582334,148286,973,582026,145421,2157,Gstaad,green,red,green,yellow,red,green,yellow,red,green,red,red,yellow
Skilift,{4E380BA8-6ABC-40B4-A987-5CEE7BA1E11A},Schopfen,586662,146648,1399,586702,145787,1564,Gstaad,green,yellow,green,yellow,yellow,yellow,yellow,red,yellow,red,red,red
Skilift,{5588993A-4BF0-4BA1-828A-A90570EE7117},Stand,586628,145720,1543,586136,145082,1672,Gstaad,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{2BAE34E9-DC48-41F7-B58B-CABDFFA0E10C},Stand,588788,143144,1909,588806,142930,1941,Gstaad,green,green,green,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow
Sesselbahn,{27FD6499-7B26-4C71-B626-4E413D0EF559},Chalberhöni–Vordereggli,584935,144721,1351,586023,144991,1678,Gstaad,yellow,yellow,green,yellow,yellow,yellow,yellow,red,yellow,red,red,red
Gondelbahn,{07372713-16ED-4149-95A8-10FBAB0E2556},Gstaad-Bodme,588201,145809,1052,589110,144342,1589,Gstaad,yellow,yellow,green,yellow,red,yellow,red,red,yellow,red,red,red
Gondelbahn,{10982A42-A767-4A55-A3AF-B2C807156087},Gstaad-Eggli,587958,146253,1047,586754,145800,1561,Gstaad,yellow,yellow,green,yellow,red,yellow,red,red,yellow,red,red,red
Skilift,{6C1047BB-2807-4B60-87EB-B523DFDB37EE},Huble,587074,147715,1029,586750,147210,1228,Gstaad,yellow,yellow,yellow,red,red,yellow,red,red,red,red,red,red
Skilift,{1CA432ED-5830-4F35-A437-03EE05A1C2C5},Le Revers,582021,148101,970,582163,147845,1090,Gstaad,yellow,red,yellow,red,red,red,red,red,red,red,red,red
Skilift,{3B7E4FFF-5AFC-4F4A-8E11-94D30DC23B66},Rütti,588341,146030,1054,588761,144944,1335,Gstaad,yellow,yellow,yellow,red,red,yellow,red,red,red,red,red,red
Sesselbahn,{8595C2B3-DC54-4A62-BDC0-1C9F0B788043},Saanen–Eggli,586830,147844,1038,586428,145547,1595,Gstaad,yellow,yellow,green,yellow,red,yellow,red,red,yellow,red,red,red
Skilift,{2C432A51-0A5C-4DE2-AEAF-5E18C43CA10A},Zückerli,588349,146118,1047,588575,145773,1128,Gstaad,yellow,yellow,yellow,red,red,red,red,red,red,red,red,red
Skilift,{4B3C5157-6A99-4D6F-97C6-16D425380451},Gsteig,586577,136683,1225,586662,136206,1360,Gstaad,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red,red,red,red
Skilift,{8FF1AB47-862D-478B-82E1-2D9AD19A8EAF},Lauenen,591162,140750,1242,590171,140465,1415,Gstaad,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow,red,red,red
Skilift,{32864BB8-2B18-4065-AC0D-76685B2A1AC9},Habkern-Sattelegg,632307,175715,1138,631191,175722,1482,Habkern,yellow,yellow,yellow,yellow,red,yellow,red,red,yellow,red,red,red
Skilift,{11CA965A-723E-4C69-9319-0FCB868B314C},Grub-Kaien,755690,256814,852,755854,256053,1075,Heiden–Grub–Oberegg,red,red,yellow,red,red,red,red,red,red,red,red,red
Skilift,{BDBCA08D-A6E8-4B9B-AAB4-21375E54BB70},Heiden,757978,255998,808,758035,255408,943,Heiden–Grub–Oberegg,red,red,red,red,red,red,red,red,red,red,red,red
Skilift,{528F20C9-2A4F-46BF-B9FE-26EF3F8429A9},Oberegg-St. Anton,759499,254141,852,758951,253364,1088,Heiden–Grub–Oberegg,red,red,yellow,red,red,red,red,red,red,red,red,red
Skilift,{DBD0D679-7F86-4CC5-A1E4-33EF2F0470C6},Starchenbach–Riegelschwendi,732257,238694,821,731338,238441,1112,Hemberg,red,red,yellow,red,red,red,red,red,red,red,red,red
Skilift,{23102AA5-52FB-4D4E-8BEE-18A9D666A22B},Hemberg,731011,238225,1071,731311,238107,1133,Hemberg,yellow,yellow,yellow,red,red,red,red,red,red,red,red,red
Skilift,{FD0AE217-3026-4547-932A-3D7A283DB9E3},Gadieris,774316,193108,2009,773257,193622,2361,Heuberge,green,green,green,green,green,green,yellow,yellow,green,yellow,yellow,yellow
Skilift,{A2E0A1F2-60D4-4D88-AC95-1A7967AB4470},Gams,774640,193220,1959,773985,192870,2097,Heuberge,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Skilift,{ACF9C212-C6FC-494B-9D43-F61B3B47D236},Heuberg-Marlargis,774785,193152,1957,775723,192629,2215,Heuberge,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Sesselbahn,{D4BD5F0F-4695-406D-8039-18EB2CF372F2},Hesisbol,702368,207315,1451,702859,205964,1836,Hoch-Ybrig,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Sesselbahn,{7637BAA2-21ED-4C6D-95E1-4291772AB8AD},Laucherenstöckli,701554,207933,1454,701081,207140,1753,Hoch-Ybrig,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Sesselbahn,{A2BEB65D-D126-4EC5-879E-43E8DF842FAE},Spirstock,702456,207484,1440,701365,206431,1768,Hoch-Ybrig,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Sesselbahn,{F954A836-50A5-4802-921A-FA9AFE8CB978},Sternen,702698,207554,1466,703370,206321,1816,Hoch-Ybrig,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Skilift,{BDE994FF-19CA-4489-A4EF-3DC17B52DAE2},Fuederegg,702385,207576,1440,702308,207845,1511,Hoch-Ybrig,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Sesselbahn,{BD598BEB-7D1C-4C1D-9AAD-99A39DD2F05C},Laucheren,701342,210048,1092,701307,207914,1488,Hoch-Ybrig,yellow,yellow,green,yellow,red,yellow,red,red,yellow,red,red,red
Luftseilbahn,{E8DE08B0-DC27-4920-88A9-3460A90957EB},Weglosen–Seebli,704177,208577,1046,702771,207573,1472,Hoch-Ybrig,yellow,yellow,green,yellow,red,yellow,red,red,yellow,red,red,red
Skilift,{1F093B85-B7EE-4816-BD6D-51B7CF8425D8},Roggenstock,702153,210577,1093,702678,209863,1359,Hoch-Ybrig,yellow,yellow,green,yellow,red,yellow,red,red,yellow,red,red,red
Sesselbahn,{F4D3DA09-BCC4-47D5-B699-33E4F76AA819},Fatschel-Triemel,768924,190083,1548,768722,191356,1882,Hochwang,green,yellow,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{C5005034-79BF-4A6C-9A4C-A274F1E9BFED},Triemel-Goldgruben,768584,191110,1850,768568,192611,2304,Hochwang,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Skilift,{B78BCB76-B955-44EF-9038-64E2B8B4C160},Dreiligass-Winteregg,618248,180189,954,618270,179595,1109,Homberg,yellow,red,yellow,red,red,red,red,red,red,red,red,red
Skilift,{1A4A23E0-C531-40FE-96CC-B7D3729DC814},Fussmatte,588037,161983,1030,588282,161317,1216,Jaun,yellow,yellow,yellow,red,red,yellow,red,red,red,red,red,red
Skilift,{39C645A4-F693-43EC-97E4-45E514ED34EE},Oberbach,588696,161963,1026,588936,162028,1060,Jaun,yellow,yellow,yellow,red,red,red,red,red,red,red,red,red
Skilift,{1B638E8A-7AF3-46F4-915F-2C3FAD33CFA9},Schattenhalb,588575,161974,1024,588328,161301,1218,Jaun,yellow,yellow,yellow,red,red,yellow,red,red,red,red,red,red
Sesselbahn,{CF50E2D3-1EAC-4DFE-A9DC-1F682F3768F1},Schattenhalb-Gastlosen,588594,161947,1028,588206,160499,1574,Jaun,yellow,yellow,green,yellow,red,yellow,red,red,yellow,red,red,red
Skilift,{1586951A-5802-4CD4-8BCF-C2DBA53B8ABA},Winteregg,593177,160589,1408,592449,160799,1608,Jaunpass,yellow,yellow,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{75E6F64B-255D-40C2-99C6-6E5065ABBC8B},Zügwegen,592314,160152,1523,592264,160810,1614,Jaunpass,yellow,yellow,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{84540A56-FF18-4EAC-B30F-FC01A9008EEF},Feselalp,621955,131538,1770,621652,132771,2196,Jeizinen,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Sesselbahn,{1E9AA525-1C68-4ED8-A0D5-2E265293AB2C},Jeizinen-Uflänge,621802,130940,1537,621951,131485,1768,Jeizinen,green,yellow,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{1E09043C-F3DA-431E-B2BA-E23BF39E7CCE},Moosig Boden-Feselalp,622108,131654,1793,622126,131985,1883,Jeizinen,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Luftseilbahn,{DB46270F-F615-4621-9D58-3C0EFF8E059B},Gampel-Jeizinen,623157,129393,640,621892,130589,1525,Jeizinen,yellow,red,yellow,red,red,yellow,red,red,yellow,red,red,red
Skilift,{F39C0FAA-2128-46D7-99D6-03C80E9383CF},Bire,619900,149756,1594,620181,150280,1732,Kandersteg,green,yellow,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{796E92F8-68DA-4EB0-BC19-73763C0698BE},Wittenen,620708,149445,1569,620528,150038,1696,Kandersteg,green,yellow,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Gondelbahn,{D871D22C-AF32-4CBB-9AEB-1E81BDABA42E},Kandersteg-Oeschinen,618736,149611,1203,619794,150099,1689,Kandersteg,yellow,yellow,green,yellow,yellow,yellow,yellow,red,yellow,red,red,red
Sesselbahn,{1CF13401-11FE-4845-9C6B-68FCDB1E2353},Kiental-Ramslauen,621833,159400,929,620710,158765,1413,Kiental,yellow,red,green,red,red,yellow,red,red,yellow,red,red,red
Skilift,{44A770AF-1735-495A-AD38-6BABB3E30FDC},Ramslauen-Chuemattli,620957,158667,1312,620460,158576,1476,Kiental,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow,red,red,red
Skilift,{6883AEE8-9A01-43D9-99A2-4388FB61EE6F},Ergglen,679185,199234,1539,679536,198952,1695,Klewenalp,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{D09AC170-5834-4F69-9E32-81D8CF4393E4},Junior 1,679086,199054,1597,679253,198859,1660,Klewenalp,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{5976ACC2-4BCE-4185-B166-E1F6743F058A},Junior 2,679081,199050,1597,679248,198856,1660,Klewenalp,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Sesselbahn,{61F6E9D4-BD35-4AFC-8778-70D4FEF96F99},Klewenstock,678682,198996,1462,679126,198644,1725,Klewenalp,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Sesselbahn,{A1E62DE2-F389-4792-863A-4A0F250C38DF},Staffelbüel-Chälen,679057,197951,1508,679314,196594,1939,Klewenalp,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Sesselbahn,{D049EC99-3F8F-4A1E-AD40-31A612D41011},Aengi,679723,198539,1453,679417,198799,1671,Klewenalp,yellow,yellow,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{EFAC7BAE-4963-4ECD-83D9-9AF5A87EA62B},Herti,681561,199941,1204,681219,199656,1279,Klewenalp,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red,red,red,red
Skilift,{9BBFE99D-CFCC-4097-8B2B-CFB5C0AF6AAA},Klewenboden,679058,199193,1584,678994,199209,1603,Klewenalp,yellow,yellow,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{664D94B1-6FE0-4A76-A8A3-1EB6B111ED5D},Twäregg,681220,199515,1269,680324,198839,1494,Klewenalp,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow,red,red,red
Skilift,{ADF9FDC9-AA5F-4E07-8EDA-AC5B5BB7899D},Albeina I,784719,197474,1891,784846,198016,1997,Klosters Madrisa,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{DD933D76-6843-4031-BC6D-9B95788F9EEE},Albeina II,784715,197476,1891,784830,197965,1993,Klosters Madrisa,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{5DF900A4-B082-43AC-B25D-9357633A475B},Glatteggen,784309,197883,1921,784793,198924,2254,Klosters Madrisa,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Skilift,{C23E8B2D-B68F-4801-9423-C109FE6B7DE1},Madrisa,785539,199397,2320,784843,200515,2622,Klosters Madrisa,green,green,green,green,green,green,green,green,green,yellow,yellow,green
Sesselbahn,{14FA14B5-5DA2-4AA7-B4CA-E6E84F92ECEB},Madrisa–Schaffürggli,784884,197353,1886,785342,199128,2396,Klosters Madrisa,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Sesselbahn,{386A42EA-0B5C-44EC-9CF3-A5AAD408D3C5},Zügenhüttli,786639,197958,1863,785880,197949,2135,Klosters Madrisa,green,green,green,green,green,green,yellow,yellow,green,yellow,yellow,yellow
Gondelbahn,{25DAFD78-EFA0-4F62-9E5A-D46FF5BC43C6},Klosters Dorf-Madrisa,785705,195504,1144,784794,197389,1890,Klosters Madrisa,yellow,yellow,green,yellow,red,yellow,yellow,red,yellow,red,red,red
Skilift,{16A023AB-E0A7-48FA-BDD7-52EAE8CF5A87},Alpsteinblick 1,743728,242674,896,744467,242220,1107,Kronberg,yellow,red,yellow,red,red,red,red,red,red,red,red,red
